url	first_seen	portal	title	company	status	location
https://careers.datadoghq.com/detail/7635298/?gh_jid=7635298	2026-06-24	greenhouse-api	Staff Software Engineer - Logs Management	Datadog	added	New York, New York, USA
https://careers.datadoghq.com/detail/7743369/?gh_jid=7743369	2026-06-24	greenhouse-api	Staff Software Engineer - Logs Observability Pipelines	Datadog	added	New York, New York, USA
https://careers.datadoghq.com/detail/7107437/?gh_jid=7107437	2026-06-24	greenhouse-api	Staff Software Engineer - ML Observability	Datadog	added	Boston, Massachusetts, USA; New York, New York, USA
https://careers.datadoghq.com/detail/8007589/?gh_jid=8007589	2026-06-24	greenhouse-api	Staff Software Engineer - Security Agent	Datadog	added	Paris, France
https://job-boards.greenhouse.io/grafanalabs/jobs/6092954004	2026-06-24	greenhouse-api	Senior AI Engineer | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5802160004	2026-06-24	greenhouse-api	Senior AI Engineer - Grafana Ops, AI/ML | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5802159004	2026-06-24	greenhouse-api	Senior AI Engineer - Grafana Ops, AI/ML | USA | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6092955004	2026-06-24	greenhouse-api	Senior AI Engineer | US | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6009283004	2026-06-24	greenhouse-api	Senior Backend Engineer - Alerting | Germany | Remote	Grafana Labs	added	Germany (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6009285004	2026-06-24	greenhouse-api	Senior Backend Engineer - Alerting | Ireland | Remote	Grafana Labs	added	Republic of Ireland (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6009284004	2026-06-24	greenhouse-api	Senior Backend Engineer - Alerting | Spain | Remote	Grafana Labs	added	Spain (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6009286004	2026-06-24	greenhouse-api	Senior Backend Engineer - Alerting | Sweden | Remote	Grafana Labs	added	Sweden (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6009287004	2026-06-24	greenhouse-api	Senior Backend Engineer - Alerting | UK | Remote	Grafana Labs	added	United Kingdom (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5807088004	2026-06-24	greenhouse-api	Senior Backend Engineer - Databases Pyroscope | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5807096004	2026-06-24	greenhouse-api	Senior Backend Engineer - Databases Pyroscope | US | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6019652004	2026-06-24	greenhouse-api	Senior Backend Engineer - Grafana Backend Services | Germany | Remote	Grafana Labs	added	Germany (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6019651004	2026-06-24	greenhouse-api	Senior Backend Engineer - Grafana Backend Services | Ireland | Remote	Grafana Labs	added	Republic of Ireland (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6019653004	2026-06-24	greenhouse-api	Senior Backend Engineer - Grafana Backend Services | Spain | Remote	Grafana Labs	added	Spain (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6019654004	2026-06-24	greenhouse-api	Senior Backend Engineer - Grafana Backend Services | Sweden | Remote	Grafana Labs	added	Sweden (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6019656004	2026-06-24	greenhouse-api	Senior Backend Engineer - Grafana Backend Services | UK | Remote	Grafana Labs	added	United Kingdom (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5984599004	2026-06-24	greenhouse-api	Senior Software Engineer - Application Core Services | Spain | Remote	Grafana Labs	added	Spain (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/6099850004	2026-06-24	greenhouse-api	Senior Software Engineer - Grafana Databases, Managed Services | Germany | Remote	Grafana Labs	added	Germany (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5989632004	2026-06-24	greenhouse-api	Senior Software Engineer - Grafana Databases, Managed Services | Ireland | Remote	Grafana Labs	added	Republic of Ireland (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5989629004	2026-06-24	greenhouse-api	Senior Software Engineer - Grafana Databases, Managed Services | Spain | Remote	Grafana Labs	added	Spain (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5989631004	2026-06-24	greenhouse-api	Senior Software Engineer - Grafana Databases, Managed Services | UK | Remote	Grafana Labs	added	United Kingdom (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5979016004	2026-06-24	greenhouse-api	Senior Software Engineer - Observability Real User Monitoring (RUM) | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5979012004	2026-06-24	greenhouse-api	Senior Software Engineer - Observability Real User Monitoring (RUM) | US | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5839190004	2026-06-24	greenhouse-api	Staff AI Engineer | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5689219004	2026-06-24	greenhouse-api	Staff AI Engineer - Grafana Ops, AI/ML | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5689218004	2026-06-24	greenhouse-api	Staff AI Engineer - Grafana Ops, AI/ML | USA | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5806328004	2026-06-24	greenhouse-api	Staff AI Engineer | US | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5799745004	2026-06-24	greenhouse-api	Staff Backend Engineer - Adaptive Telemetry, Databases | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5799744004	2026-06-24	greenhouse-api	Staff Backend Engineer - Adaptive Telemetry, Databases | USA | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5985793004	2026-06-24	greenhouse-api	Staff Backend Engineer - Application Core Services, Stacks | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5968728004	2026-06-24	greenhouse-api	Staff Backend Engineer - Application Core Services, Stacks | USA | Remote	Grafana Labs	added	United States (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5982443004	2026-06-24	greenhouse-api	Staff Backend Engineer - Databases Tempo | Canada | Remote	Grafana Labs	added	Canada (Remote)
https://job-boards.greenhouse.io/grafanalabs/jobs/5982444004	2026-06-24	greenhouse-api	Staff Backend Engineer - Databases Tempo | US | Remote	Grafana Labs	added	United States (Remote)
